Designator,Mid X,Mid Y,Rotation,Layer
AE101,39.25,70.45,0.0,top
C1,29.15,69.85,90.0,top
C10,18.65,40.75,90.0,top
C11,22.75,40.75,90.0,top
C12,1.15,30.05,270.0,top
C14,12.75,10.35,180.0,top
C15,12.1,2.35,180.0,top
C16,11.5,7.3,90.0,top
C17,3.1,29.6,0.0,top
C18,8.3875,4.8,90.0,top
C19,9.4,3.11,180.0,top
C2,-5.035,50.55,0.0,top
C20,9.5875,5.35,270.0,top
C21,13.85,40.75,90.0,top
C22,4.35,40.75,90.0,top
C23,19.65,40.75,270.0,top
C24,27.6,40.75,270.0,top
C25,12.1,1.4,180.0,top
C26,6.05,29.6,0.0,top
C27,31.13,71.55,180.0,top
C28,10.65,40.75,270.0,top
C29,23.3,71.55,180.0,top
C3,-4.25,46.1,270.0,top
C31,17.0,71.55,180.0,top
C38,10.8,10.55,90.0,top
C4,21.3,69.9,90.0,top
C40,-5.025,48.25,0.0,top
C5,34.35,69.83,90.0,top
C6,15.0,69.85,90.0,top
C7,-3.2,46.1,270.0,top
C8,6.75,67.05,270.0,top
C9,23.9,40.75,90.0,top
D1,5.2375,31.5,0.0,top
D2,25.95,36.0,0.0,top
F1,28.45,9.97,270.0,top
F2,29.05,40.75,90.0,top
FB1,9.4,1.65,180.0,top
FL1,9.95,69.35,210.0,top
J2,30.725,4.2,90.0,top
J3,36.15,37.27,90.0,top
J5,19.45,3.8235,0.0,top
L1,16.95,70.35,180.0,top
L2,23.25,70.35,180.0,top
L3,31.1,70.35,180.0,top
Q1,2.35,18.7,0.0,top
Q2,7.35,18.7,0.0,top
Q3,24.6625,10.15,180.0,top
R1,17.3,40.73,90.0,top
R10,5.36,17.55,180.0,top
R11,5.35,19.85,0.0,top
R13,3.3,40.73,270.0,top
R15,0.2,30.05,90.0,top
R16,8.3875,6.675,90.0,top
R18,7.95,31.45,180.0,top
R19,22.05,9.95,270.0,top
R2,24.95,40.73,90.0,top
R20,27.35,9.95,90.0,top
R21,8.85,8.1,0.0,top
R22,-3.75,43.9,0.0,top
R3,26.5,40.73,270.0,top
R5,9.7,40.73,90.0,top
R6,21.75,40.73,270.0,top
R7,21.1,9.95,90.0,top
R8,18.2,9.95,90.0,top
R9,14.9,40.73,270.0,top
SW1,-2.07247853966178,35.91724434148501,120.0,top
SW2,42.2625,52.85,270.0,top
SW3,16.55,36.215,0.0,top
SW4,7.05,36.215,0.0,top
U1,18.4,54.0,180.0,top
U2,5.35,12.2,180.0,top
U4,4.55,24.6125,0.0,top
U5,19.85,22.0,180.0,top
